state,visited
Alabama,209582
Alaska,16908
Arizona,160810
Arkansas,134250
California,1376847
Colorado,245619
Connecticut,372473
Delaware,34197
District Of Columbia,63082
Florida,165020
Georgia,155486
Hawaii,44971
Idaho,74087
Illinois,874102
Indiana,345626
Iowa,266710
Kansas,223981
Kentucky,312218
Louisiana,64553
Maine,156046
Maryland,266614
Massachusetts,816770
Michigan,1099271
Minnesota,250418
Mississippi,41401
Missouri,217247
Montana,142008
Nebraska,89134
Nevada,11892
New Hampshire,44422
New Jersey,939219
New Mexico,84345
New York,1792782
North Carolina,426727
North Dakota,98448
OHIO,873959
Oklahoma,114875
Oregon,217723
Pennsylvania,1452099
Rhode Island,105834
South Carolina,161040
South Dakota,48637
Tennessee,334300
Texas,1208766
Utah,173002
Vermont,107484
Virginia,405874
Washington,396878
West Virginia,246755
Wisconsin,1166684
Wyoming,39820
